place_id,place_name,region,author_name,rating,text,time_description,review_date,lat,lng
ChIJs-U2BPgPvywRckfb8tiyWNk,Buley Rockhole (car park),Darwin_Palmerston,Helen Nguyen,5,"Buley Rockhole offers a quiet, calming contrast to the nearby Florence Falls — perfect for a more relaxed dip either before or after visiting the main plunge pool. It’s conveniently located on the same route, making it a great stopover.

The stream gently flows downhill, forming a series of cascading rock pools connected like natural steps. You can relax in any of them, though the lower pools tend to be more popular. The water is deep in parts, which makes it ideal for floating with a pool noodle or even jumping in from the rock ledges.

It’s a peaceful spot to unwind, soak in the beauty of nature, and enjoy the cool, clear waters in a more low-key setting. A wonderful stop in Litchfield that feels both refreshing and serene.",2 months ago,06-08-2025,-13.1118587,130.7876454
ChIJs-U2BPgPvywRckfb8tiyWNk,Buley Rockhole (car park),Darwin_Palmerston,200 and a Van,5,One of my favourite spots on our 12000km trip. Beautiful swimming holes. Don’t expect privacy if a tour group arrives or personal space. It disappoints me the way groups can take over a space with little regard to others. A reminder too that it is a NO SMOKING area. It is a magical spot and a must do! Super easy walk from carpark.,a month ago,15-08-2025,-13.1118587,130.7876454
ChIJs-U2BPgPvywRckfb8tiyWNk,Buley Rockhole (car park),Darwin_Palmerston,Kate Chandler,5,"My favorite swimming spot.
Perfect water temperature with plenty of different pools to enjoy. No complaints here!",in the last week,29-09-2025,-13.1118587,130.7876454
ChIJs-U2BPgPvywRckfb8tiyWNk,Buley Rockhole (car park),Darwin_Palmerston,Jennifer Ryder,4,"Gorgeous spot for a cool off on a hot day. The main pool is deep enough to jump into from the edge. Water is so refreshing and clear. As a mature woman with not so flexible knees these days, I did find it difficult to enter and exit the pools without assistance. There are no rails to hold onto, and I doubt it would be a worthwhile exercise installing rails to enter and exit the pools. It's an easy walk from the carpark to the pools. Just be mindful that it's a rocky walk. Not accessible for wheelchairs.",3 months ago,27-06-2025,-13.1118587,130.7876454
ChIJs-U2BPgPvywRckfb8tiyWNk,Buley Rockhole (car park),Darwin_Palmerston,Louise Tome,5,Buley rockhole is a series of rock pools that cascade down the river. It is a hidden oasis from the heat just a short walk from the carpark and picnic area. Access can be a bit tricky as there is no man-made entry to the water so care needs to be taken both entering and leaving the water in each rockpool. We swam at the beginning of the dry season so the water was still flowing and deep in some pools. The water level is seasonal and in the dry the rock pools can become isolated and stagnant not safe for swimming.,2 months ago,09-07-2025,-13.1118587,130.7876454
ChIJJ2dGsgmRwCwRyYhVdpbH6yY,Crocosaurus Cove,Darwin_Palmerston,Sim W,5,"What a great experience! A must do while your in Darwin, the staff are great and friendly too! Make sure you catch the variety of feeding and informative shows they have. Recommended getting the pass out at lunch and grabbing some local cuisine before heading back in for the arvo. Cool little gift shop also",a month ago,18-08-2025,-12.462332,130.839161
ChIJJ2dGsgmRwCwRyYhVdpbH6yY,Crocosaurus Cove,Darwin_Palmerston,Chris,5,"Highly recommend you check this place out. For 40$ AUD per adult, you can get a fun enough experience. You can pay more to do things like feed the crocodiles and swim in a tank nearby. This place is mind blowing for sure as I’ve never seen an animal that large from up close. You don’t need to buy tickets in advance for the basic entry ticket. I am unsure if you have to buy in advance for the other options.",2 months ago,11-07-2025,-12.462332,130.839161
ChIJJ2dGsgmRwCwRyYhVdpbH6yY,Crocosaurus Cove,Darwin_Palmerston,famousaj1,3,"Overhyped and mainly for kids, attractions are standard and very basic. The croc feeding is comedic at best. You can certainly hold the baby crocs, but the picture is $35. The swimming with the crocs looked super lame as well. The croc just sits there while you splash about in a plastic container for $$$$! Like other reviews stated, the other park is better, especially for the crazy entrance fee.",a month ago,30-08-2025,-12.462332,130.839161
ChIJJ2dGsgmRwCwRyYhVdpbH6yY,Crocosaurus Cove,Darwin_Palmerston,Leo,5,We really enjoyed Crocosaurus cove.  Good viewing of the crocodiles with feeding sessions. Lots of reptiles to see and there was a snake and reptile show. We also got to see the people in the clear cage swim in the croc pool. All exhibits were easy to see. It's in the city and easy to get to. I would recommend a visit.,2 months ago,20-07-2025,-12.462332,130.839161
ChIJJ2dGsgmRwCwRyYhVdpbH6yY,Crocosaurus Cove,Darwin_Palmerston,Angela Kennedy,5,"Awesome day out, well worth the money we spent. We witnessed a snake eating a rat! We held a lizard & a snake at no extra cost, we seen many snakes, crocodiles, turtles and lizards. Crocodile show was fantastic, when in Darwin we would go the again.",2 months ago,25-07-2025,-12.462332,130.839161
