review_id,place_id,place_name,region,rating,sentiment,text_clean,author_hash,text,time_description,review_date,lat,lng,topic,sentiment_score
2c033f2ab8ad0a5c3a1a0af965476066,ChIJs-U2BPgPvywRckfb8tiyWNk,Buley Rockhole (car park),Darwin_Palmerston,5,positive,buley rockhole offers a quiet calming contrast to the nearby florence falls perfect for a more relaxed dip either before or after visiting the main plunge pool it s conveniently located on the same route making it a great stopover the stream gently flows downhill forming a series of cascading rock pools connected like natural steps you can relax in any of them though the lower pools tend to be more popular the water is deep in parts which makes it ideal for floating with a pool noodle or even jumping in from the rock ledges it s a peaceful spot to unwind soak in the beauty of nature and enjoy the cool clear waters in a more low key setting a wonderful stop in litchfield that feels both refreshing and serene,436c36bb4168,"Buley Rockhole offers a quiet, calming contrast to the nearby Florence Falls — perfect for a more relaxed dip either before or after visiting the main plunge pool. It’s conveniently located on the same route, making it a great stopover.

The stream gently flows downhill, forming a series of cascading rock pools connected like natural steps. You can relax in any of them, though the lower pools tend to be more popular. The water is deep in parts, which makes it ideal for floating with a pool noodle or even jumping in from the rock ledges.

It’s a peaceful spot to unwind, soak in the beauty of nature, and enjoy the cool, clear waters in a more low-key setting. A wonderful stop in Litchfield that feels both refreshing and serene.",2 months ago,06-08-2025,-13.1118587,130.7876454,water swim swimming pools,0.9929
7ee9970ba78b2d371526a68ae10c0625,ChIJs-U2BPgPvywRckfb8tiyWNk,Buley Rockhole (car park),Darwin_Palmerston,5,positive,one of my favourite spots on our 12000km trip beautiful swimming holes don t expect privacy if a tour group arrives or personal space it disappoints me the way groups can take over a space with little regard to others a reminder too that it is a no smoking area it is a magical spot and a must do super easy walk from carpark,f33128ca7585,One of my favourite spots on our 12000km trip. Beautiful swimming holes. Don’t expect privacy if a tour group arrives or personal space. It disappoints me the way groups can take over a space with little regard to others. A reminder too that it is a NO SMOKING area. It is a magical spot and a must do! Super easy walk from carpark.,a month ago,15-08-2025,-13.1118587,130.7876454,water swim swimming pools,0.7845
f6bcfc707fde4233f2e6c02617171286,ChIJs-U2BPgPvywRckfb8tiyWNk,Buley Rockhole (car park),Darwin_Palmerston,5,positive,my favorite swimming spot perfect water temperature with plenty of different pools to enjoy no complaints here,19b898872d0c,"My favorite swimming spot.
Perfect water temperature with plenty of different pools to enjoy. No complaints here!",in the last week,29-09-2025,-13.1118587,130.7876454,water swim swimming pools,0.7184
59f9e5f3f78b0f814fda7beb449cda61,ChIJs-U2BPgPvywRckfb8tiyWNk,Buley Rockhole (car park),Darwin_Palmerston,4,positive,gorgeous spot for a cool off on a hot day the main pool is deep enough to jump into from the edge water is so refreshing and clear as a mature woman with not so flexible knees these days i did find it difficult to enter and exit the pools without assistance there are no rails to hold onto and i doubt it would be a worthwhile exercise installing rails to enter and exit the pools it s an easy walk from the carpark to the pools just be mindful that it s a rocky walk not accessible for wheelchairs,415374ef11dd,"Gorgeous spot for a cool off on a hot day. The main pool is deep enough to jump into from the edge. Water is so refreshing and clear. As a mature woman with not so flexible knees these days, I did find it difficult to enter and exit the pools without assistance. There are no rails to hold onto, and I doubt it would be a worthwhile exercise installing rails to enter and exit the pools. It's an easy walk from the carpark to the pools. Just be mindful that it's a rocky walk. Not accessible for wheelchairs.",3 months ago,27-06-2025,-13.1118587,130.7876454,water swim swimming pools,0.8385
402cc8786a2503a1dc2855033ea5d60f,ChIJs-U2BPgPvywRckfb8tiyWNk,Buley Rockhole (car park),Darwin_Palmerston,5,positive,buley rockhole is a series of rock pools that cascade down the river it is a hidden oasis from the heat just a short walk from the carpark and picnic area access can be a bit tricky as there is no man made entry to the water so care needs to be taken both entering and leaving the water in each rockpool we swam at the beginning of the dry season so the water was still flowing and deep in some pools the water level is seasonal and in the dry the rock pools can become isolated and stagnant not safe for swimming,cb442874e9cf,Buley rockhole is a series of rock pools that cascade down the river. It is a hidden oasis from the heat just a short walk from the carpark and picnic area. Access can be a bit tricky as there is no man-made entry to the water so care needs to be taken both entering and leaving the water in each rockpool. We swam at the beginning of the dry season so the water was still flowing and deep in some pools. The water level is seasonal and in the dry the rock pools can become isolated and stagnant not safe for swimming.,2 months ago,09-07-2025,-13.1118587,130.7876454,water swim swimming pools,-0.3377
cadc467e3024b1b8564c8c7c877a1000,ChIJJ2dGsgmRwCwRyYhVdpbH6yY,Crocosaurus Cove,Darwin_Palmerston,5,positive,what a great experience a must do while your in darwin the staff are great and friendly too make sure you catch the variety of feeding and informative shows they have recommended getting the pass out at lunch and grabbing some local cuisine before heading back in for the arvo cool little gift shop also,9ea3f0d7e81e,"What a great experience! A must do while your in Darwin, the staff are great and friendly too! Make sure you catch the variety of feeding and informative shows they have. Recommended getting the pass out at lunch and grabbing some local cuisine before heading back in for the arvo. Cool little gift shop also",a month ago,18-08-2025,-12.462332,130.839161,outliers,0.9607
11e541f2f0996daa5facd2c9d9f70f87,ChIJJ2dGsgmRwCwRyYhVdpbH6yY,Crocosaurus Cove,Darwin_Palmerston,5,positive,highly recommend you check this place out for 40 aud per adult you can get a fun enough experience you can pay more to do things like feed the crocodiles and swim in a tank nearby this place is mind blowing for sure as i ve never seen an animal that large from up close you don t need to buy tickets in advance for the basic entry ticket i am unsure if you have to buy in advance for the other options,9ae4bc0e32db,"Highly recommend you check this place out. For 40$ AUD per adult, you can get a fun enough experience. You can pay more to do things like feed the crocodiles and swim in a tank nearby. This place is mind blowing for sure as I’ve never seen an animal that large from up close. You don’t need to buy tickets in advance for the basic entry ticket. I am unsure if you have to buy in advance for the other options.",2 months ago,11-07-2025,-12.462332,130.839161,crocs boat crocodiles croc,0.8173
8ca157c9c65646a6a2b1bb8ccb0b20af,ChIJJ2dGsgmRwCwRyYhVdpbH6yY,Crocosaurus Cove,Darwin_Palmerston,3,neutral,overhyped and mainly for kids attractions are standard and very basic the croc feeding is comedic at best you can certainly hold the baby crocs but the picture is 35 the swimming with the crocs looked super lame as well the croc just sits there while you splash about in a plastic container for like other reviews stated the other park is better especially for the crazy entrance fee,30d6db3b1b8d,"Overhyped and mainly for kids, attractions are standard and very basic. The croc feeding is comedic at best. You can certainly hold the baby crocs, but the picture is $35. The swimming with the crocs looked super lame as well. The croc just sits there while you splash about in a plastic container for $$$$! Like other reviews stated, the other park is better, especially for the crazy entrance fee.",a month ago,30-08-2025,-12.462332,130.839161,crocs boat crocodiles croc,0.9319
52f3b31f44391dcc7c038def4740635c,ChIJJ2dGsgmRwCwRyYhVdpbH6yY,Crocosaurus Cove,Darwin_Palmerston,5,positive,we really enjoyed crocosaurus cove good viewing of the crocodiles with feeding sessions lots of reptiles to see and there was a snake and reptile show we also got to see the people in the clear cage swim in the croc pool all exhibits were easy to see it s in the city and easy to get to i would recommend a visit,5bc426e8d81e,We really enjoyed Crocosaurus cove.  Good viewing of the crocodiles with feeding sessions. Lots of reptiles to see and there was a snake and reptile show. We also got to see the people in the clear cage swim in the croc pool. All exhibits were easy to see. It's in the city and easy to get to. I would recommend a visit.,2 months ago,20-07-2025,-12.462332,130.839161,crocs boat crocodiles croc,0.9468
803373833da7d6135d1c1e6d3457291a,ChIJJ2dGsgmRwCwRyYhVdpbH6yY,Crocosaurus Cove,Darwin_Palmerston,5,positive,awesome day out well worth the money we spent we witnessed a snake eating a rat we held a lizard a snake at no extra cost we seen many snakes crocodiles turtles and lizards crocodile show was fantastic when in darwin we would go the again,ea95be1c4692,"Awesome day out, well worth the money we spent. We witnessed a snake eating a rat! We held a lizard & a snake at no extra cost, we seen many snakes, crocodiles, turtles and lizards. Crocodile show was fantastic, when in Darwin we would go the again.",2 months ago,25-07-2025,-12.462332,130.839161,outliers,0.8591
408a987b6c6aea8fec801deb946829c3,ChIJc9zWzQ6RwCwRhNvE8okrwzM,Banyan Tree caravan park resort Litchfield,Darwin_Palmerston,5,positive,quintessential northern territory the owners of this place are a genuine family mum dad and five kids and they all take part in running the place it was wonderful the setting was sublime and the service and attention was great the pizza we had was one of the best pizzas we ve had in the northern territory and the buffalo burger was excellent as well great food and good live music to accompany after happy hour yes i would come back to this one again,8f245f835dd5,"Quintessential northern territory. The owners of this place are a genuine family, Mum Dad and five kids. And they all take part in running the place. It was wonderful. The setting was sublime and the service and attention was great. The pizza we had was one of the best pizzas we've had in the northern territory, and the buffalo burger was excellent as well. Great food and good live music to accompany after happy hour. Yes I would come back to this one again.",a month ago,18-08-2025,-13.027227,130.97466,outliers,0.9851
8cfbb73b906b3620c9b9768a59ccc100,ChIJc9zWzQ6RwCwRhNvE8okrwzM,Banyan Tree caravan park resort Litchfield,Darwin_Palmerston,5,positive,great park with beautiful shady spots we also loved the 5pm happy hour with music to sing along to every night recently taken over and now being run by a lovely family great place to stay with a short trip to all of the amazing sites in litchfield national park,7e72a8b37212,Great park with beautiful shady spots. We also loved the 5pm Happy Hour with music to sing along to every night! Recently taken over and now being run by a lovely family. Great place to stay with a short trip to all of the amazing sites in Litchfield National Park.,in the last week,01-10-2025,-13.027227,130.97466,outliers,0.9823
9e652f57ba8c79d79a812e5e4110247d,ChIJc9zWzQ6RwCwRhNvE8okrwzM,Banyan Tree caravan park resort Litchfield,Darwin_Palmerston,5,positive,we loved our stay at banyan tree caravanpark lots of shady and grass areas to camp beautiful coloured and clean bathrooms the licensed bar and restaurant is a huge plus with live music every night and fairy lights around the huge fig tree the homemade pizza was amazing and the owners super nice definitely recommend staying there when visiting litchfield,a6a6d7b28cfe,"We loved our stay at Banyan Tree Caravanpark. Lots of shady and grass areas to camp, beautiful coloured and clean bathrooms. The licensed bar and restaurant is a huge plus with live music every night and fairy lights around the huge fig tree. The homemade pizza was amazing and the owners super nice! Definitely recommend staying there when visiting Litchfield!",a week ago,23-09-2025,-13.027227,130.97466,outliers,0.9831
37114c9a8e100760905a289e7c6b73cd,ChIJc9zWzQ6RwCwRhNvE8okrwzM,Banyan Tree caravan park resort Litchfield,Darwin_Palmerston,5,positive,what an absolute gem of a place with big shady caravan sites beaut amenities and a pool the new owners are fantastic and all of the family are extremely friendly with on tap beer that is deliciously cold and a nice selection of wines etc the burgers were pretty good and the pizza s looked great plus live music all of this less than an hours drive of some beautiful swimming holes in litchfield np we would definately stay again well done banyan tree,6c4594964264,"What an absolute gem of a place with big shady caravan sites, beaut amenities and a pool.
The new owners are fantastic and all of the family are extremely friendly.
With 'on tap' beer that is deliciously cold and a nice selection of wines etc. The burgers were pretty good and the pizza's looked great. Plus live music.
All of this less than an hours drive of some beautiful swimming holes in Litchfield NP.
We would definately stay again.
Well done Banyan Tree 👍🏼.",3 weeks ago,09-09-2025,-13.027227,130.97466,outliers,0.9861
0321e54d3f8feb15b25db7050101b3b5,ChIJc9zWzQ6RwCwRhNvE8okrwzM,Banyan Tree caravan park resort Litchfield,Darwin_Palmerston,5,positive,my wife and i stayed here on our travels the place has so much character the owner and staff family run were all warm and welcoming a cold beer under the tree listening to some live music was superb highly recommend,08ffeeb49e0e,"My wife and I stayed here on our travels. The place has so much character, the owner and staff (family run) were all warm and welcoming. A cold beer under the tree listening to some live music was superb. Highly recommend.",a week ago,22-09-2025,-13.027227,130.97466,great bar and cocktails,0.8932
c24e426b330fb4bd5f121313d9023498,ChIJlWWiRwaRwCwR3YS8nob3hoE,Darwin Cenotaph War Memorial,Darwin_Palmerston,5,positive,peaceful free and full of history no tickets needed entry is totally free this war memorial park is such a peaceful spot with a beautiful sea view it s perfect if you re looking for a relaxing walk a jog or just a quiet place to watch the sunset one thing that really impressed me was the polar sundial it actually showed the exact time when i took the picture of it so cool the park also has lots of info panels that give you a glimpse into darwin s wartime history which makes it both calming and educational it seems to be open all the time there s no gate or closing hours which is super convenient it s definitely a great spot for anyone who loves history or just wants to enjoy nature by the sea,68bd544275f5,"Peaceful, Free, and Full of History
No tickets needed. Entry is totally free! This war memorial park is such a peaceful spot with a beautiful sea view. It’s perfect if you’re looking for a relaxing walk, a jog, or just a quiet place to watch the sunset.

One thing that really impressed me was the Polar Sundial. It actually showed the exact time when I took the picture of it, so cool! The park also has lots of info panels that give you a glimpse into Darwin’s wartime history, which makes it both calming and educational.

It seems to be open all the time—there’s no gate or closing hours, which is super convenient. It's definitely a great spot for anyone who loves history or just wants to enjoy nature by the sea.",3 months ago,05-07-2025,-12.4667278,130.8400494,darwin of to the,0.9913
d76a112ca8baf5ff88967078a795b56b,ChIJlWWiRwaRwCwR3YS8nob3hoE,Darwin Cenotaph War Memorial,Darwin_Palmerston,5,positive,a nice memorial site with great views there s plenty of parking located all around this area but you have to pay it s pretty cheap and worth it to stop by in my opinion the only complaint i have for this place is we couldn t find out how to access the beach underneath i believe it s closed down for now,9ae4bc0e32db,A nice Memorial site with great views. There’s plenty of parking located all around this area but you have to pay. It’s pretty cheap and worth it to stop by in my opinion. The only complaint I have for this place is we couldn’t find out how to access the beach underneath. I believe it’s closed down for now.,2 months ago,11-07-2025,-12.4667278,130.8400494,water swim swimming pools,0.5994
d0bc97484fa525785069a761d229df8e,ChIJlWWiRwaRwCwR3YS8nob3hoE,Darwin Cenotaph War Memorial,Darwin_Palmerston,5,positive,great place to show your respects clean and well maintained,9ea3f0d7e81e,Great place to show your respects. Clean and well maintained.,a month ago,26-08-2025,-12.4667278,130.8400494,outliers,0.8807
3908036fcbfc969edbecdf9a6af73cbc,ChIJlWWiRwaRwCwR3YS8nob3hoE,Darwin Cenotaph War Memorial,Darwin_Palmerston,5,positive,great museum for history of the world wars 1 and 2 we enjoyed it,5acc8bd1de71,Great museum for history of the world wars 1 and 2 we enjoyed it,a month ago,02-09-2025,-12.4667278,130.8400494,museum history display trucks,0.5859
15493a085a8eafa51541f914f2b66a82,ChIJlWWiRwaRwCwR3YS8nob3hoE,Darwin Cenotaph War Memorial,Darwin_Palmerston,5,positive,the darwin cenotaph war memorial is a poignant and respectful tribute to those who served and sacrificed in times of war the memorial stands as a solemn reminder of the courage and sacrifice of our service men and women it s a place for reflection and remembrance beautifully maintained and significant in honoring our history visiting this memorial is a humbling experience and i highly recommend taking the time to pay your respects,6e3204def7f0,"The Darwin Cenotaph War Memorial is a poignant and respectful tribute to those who served and sacrificed in times of war. The memorial stands as a solemn reminder of the courage and sacrifice of our service men and women. It's a place for reflection and remembrance, beautifully maintained and significant in honoring our history. Visiting this memorial is a humbling experience, and I highly recommend taking the time to pay your respects.",a year ago,06-05-2024,-12.4667278,130.8400494,darwin of to the,0.8622
